Date,Open,High,Low,Close,Adj Close,Volume
2021-02-02,38500.000000,40700.000000,38500.000000,39050.000000,36524.378906,2196400
2021-02-03,39675.000000,39800.000000,38800.000000,38825.000000,36313.929688,1236800
2021-02-04,38825.000000,39175.000000,38525.000000,38800.000000,36290.546875,864200
2021-02-05,38850.000000,39000.000000,38700.000000,38875.000000,36360.695313,825500
2021-02-08,38875.000000,39175.000000,38775.000000,38800.000000,36290.546875,910100
2021-02-09,38825.000000,39175.000000,38775.000000,38775.000000,36267.164063,919800
2021-02-10,38775.000000,38900.000000,38500.000000,38500.000000,36009.949219,673800
2021-02-11,38525.000000,38800.000000,38500.000000,38725.000000,36220.398438,399400
2021-02-15,38850.000000,38925.000000,38700.000000,38725.000000,36220.398438,740100
2021-02-16,38725.000000,38800.000000,38475.000000,38475.000000,35986.566406,1236000
2021-02-17,38500.000000,38575.000000,38100.000000,38125.000000,35659.203125,869400
2021-02-18,38125.000000,38150.000000,38000.000000,38000.000000,35542.289063,1120200
2021-02-19,38000.000000,38000.000000,37700.000000,37750.000000,35308.457031,1005200
2021-02-22,37950.000000,37950.000000,37075.000000,37075.000000,34677.113281,2705400
2021-02-23,37125.000000,37275.000000,36500.000000,36550.000000,34186.070313,3085400
2021-02-24,36750.000000,37250.000000,36525.000000,36700.000000,34326.367188,1732700
2021-02-25,36700.000000,36900.000000,36625.000000,36675.000000,34302.984375,1337200
2021-02-26,36600.000000,36800.000000,36325.000000,36500.000000,34139.300781,2090300
2021-03-01,36650.000000,36700.000000,36500.000000,36600.000000,34232.835938,1322300
2021-03-02,36800.000000,37750.000000,36625.000000,37375.000000,34957.710938,5486400
2021-03-03,37500.000000,37650.000000,36800.000000,37000.000000,34606.964844,2014500
2021-03-04,37000.000000,37500.000000,36525.000000,36900.000000,34513.433594,2697500
2021-03-05,36800.000000,36900.000000,36525.000000,36600.000000,34232.835938,1323200
2021-03-08,36700.000000,37100.000000,36550.000000,36575.000000,34209.453125,1204700
2021-03-09,36750.000000,36825.000000,36225.000000,36250.000000,33905.472656,1235100
2021-03-10,36250.000000,36475.000000,36200.000000,36250.000000,33905.472656,778000
2021-03-12,36700.000000,36700.000000,36200.000000,36225.000000,33882.089844,1753500
2021-03-15,36250.000000,36350.000000,36075.000000,36200.000000,33858.707031,1050000
2021-03-16,36200.000000,36800.000000,36200.000000,36675.000000,34302.984375,2051600
2021-03-17,36675.000000,36775.000000,36250.000000,36300.000000,33952.238281,718900
2021-03-18,36400.000000,36750.000000,36400.000000,36600.000000,34232.835938,888600
2021-03-19,36750.000000,38200.000000,36525.000000,37775.000000,35331.839844,4188200
2021-03-22,37925.000000,38775.000000,37700.000000,37775.000000,35331.839844,1444500
2021-03-23,37775.000000,38100.000000,36625.000000,36775.000000,34396.515625,1315000
2021-03-24,36975.000000,37000.000000,35800.000000,35825.000000,33507.960938,2612800
2021-03-25,35825.000000,36225.000000,35600.000000,35825.000000,33507.960938,1351600
2021-03-26,36000.000000,36175.000000,35825.000000,36100.000000,33765.171875,522000
2021-03-29,36250.000000,37100.000000,36225.000000,36450.000000,34092.535156,1553900
2021-03-30,36500.000000,36900.000000,36350.000000,36675.000000,34302.984375,1016800
2021-03-31,36675.000000,36700.000000,36075.000000,36175.000000,33835.324219,1679500
2021-04-01,37000.000000,37000.000000,36150.000000,36325.000000,33975.621094,695600
2021-04-05,36450.000000,36600.000000,36200.000000,36200.000000,33858.707031,573500
2021-04-06,36300.000000,36650.000000,36225.000000,36275.000000,33928.855469,467300
2021-04-07,36300.000000,36500.000000,36125.000000,36225.000000,33882.089844,508000
2021-04-08,36450.000000,37100.000000,36300.000000,37050.000000,34653.730469,1493300
2021-04-09,37300.000000,38550.000000,37275.000000,38050.000000,35589.054688,2365500
2021-04-12,38050.000000,38075.000000,36800.000000,36825.000000,34443.281250,1281700
2021-04-13,36825.000000,36900.000000,36350.000000,36375.000000,34022.386719,1793900
2021-04-14,36375.000000,36800.000000,36325.000000,36625.000000,34256.218750,539700
2021-04-15,36525.000000,36600.000000,36175.000000,36350.000000,33999.003906,738700
2021-04-16,36350.000000,36425.000000,36275.000000,36400.000000,34045.769531,321900
2021-04-19,36400.000000,36450.000000,36100.000000,36250.000000,33905.472656,711300
2021-04-20,36250.000000,36800.000000,36125.000000,36350.000000,33999.003906,782700
2021-04-21,36200.000000,36350.000000,36200.000000,36200.000000,33858.707031,424400
2021-04-22,36325.000000,36500.000000,36100.000000,36125.000000,33788.554688,757500
2021-04-23,36125.000000,36200.000000,36000.000000,36050.000000,33718.406250,1163000
2021-04-26,36100.000000,36350.000000,36000.000000,36225.000000,33882.089844,688300
2021-04-27,36225.000000,36225.000000,36000.000000,36000.000000,33671.640625,912800
2021-04-28,36025.000000,36575.000000,36000.000000,36425.000000,34069.152344,494200
2021-04-29,36425.000000,36650.000000,36100.000000,36125.000000,33788.554688,590800
2021-04-30,36125.000000,36350.000000,36100.000000,36100.000000,33765.171875,871200
2021-05-03,36100.000000,36200.000000,35825.000000,35900.000000,33578.109375,734000
2021-05-04,35900.000000,36000.000000,35700.000000,35700.000000,33391.042969,986000
2021-05-05,35700.000000,35725.000000,35350.000000,35400.000000,33110.445313,1525200
2021-05-06,35425.000000,35575.000000,35125.000000,35175.000000,32900.000000,912100
2021-05-07,35175.000000,35300.000000,35000.000000,35075.000000,32806.464844,1394100
2021-05-10,35100.000000,35175.000000,35025.000000,35175.000000,32900.000000,871500
2021-05-11,35150.000000,35375.000000,35025.000000,35050.000000,32783.082031,521900
2021-05-17,35050.000000,35125.000000,33575.000000,33600.000000,31426.865234,2745000
2021-05-18,33600.000000,34100.000000,33600.000000,33800.000000,31613.929688,873100
2021-05-19,33800.000000,33800.000000,33050.000000,33075.000000,30935.820313,1242400
2021-05-20,33100.000000,33200.000000,32825.000000,32925.000000,30795.521484,1731000
2021-05-21,33600.000000,33600.000000,32750.000000,32925.000000,30795.521484,1093600
2021-05-24,32925.000000,33250.000000,32925.000000,33000.000000,30865.669922,591800
2021-05-25,33000.000000,33100.000000,32925.000000,33100.000000,30959.203125,986100
2021-05-27,33100.000000,33500.000000,32900.000000,32900.000000,30772.138672,4069600
2021-05-28,32900.000000,33150.000000,32825.000000,32900.000000,30772.138672,762800
2021-05-31,32900.000000,33150.000000,32850.000000,33150.000000,31005.968750,645300
2021-06-02,33200.000000,34275.000000,33200.000000,33850.000000,31660.695313,1447300
2021-06-03,33850.000000,34000.000000,33100.000000,33600.000000,31426.865234,1459300
2021-06-04,33500.000000,33600.000000,33300.000000,33350.000000,31193.033203,867200
2021-06-07,33350.000000,33700.000000,33325.000000,33475.000000,31309.949219,583200
2021-06-08,33450.000000,33550.000000,32975.000000,33025.000000,30889.054688,773900
2021-06-09,33025.000000,33100.000000,32825.000000,32875.000000,30748.755859,963000
2021-06-10,33500.000000,34425.000000,33500.000000,33600.000000,31426.865234,1538200
2021-06-11,33800.000000,33850.000000,33525.000000,33600.000000,31426.865234,467700
2021-06-14,33600.000000,33950.000000,33450.000000,33900.000000,31707.460938,1403000
2021-06-15,33900.000000,35150.000000,33650.000000,34700.000000,32455.720703,2875600
2021-06-16,34725.000000,36225.000000,34725.000000,35650.000000,33344.277344,2739500
2021-06-17,35650.000000,36500.000000,35075.000000,36025.000000,33695.023438,2680700
2021-06-18,36025.000000,36650.000000,35350.000000,35750.000000,33437.808594,4049200
2021-06-21,35500.000000,36450.000000,34750.000000,36225.000000,33882.089844,1780200
2021-06-22,36500.000000,37800.000000,36275.000000,37500.000000,35074.625000,3253500
2021-06-23,37500.000000,38500.000000,37500.000000,37925.000000,35472.136719,2704300
2021-06-24,37925.000000,38600.000000,37350.000000,38275.000000,35799.500000,2601700
2021-06-25,38275.000000,39225.000000,38100.000000,38750.000000,36243.781250,2629900
2021-06-28,38750.000000,40950.000000,37900.000000,40750.000000,38114.425781,4517300
2021-06-29,40750.000000,43500.000000,40750.000000,43500.000000,40686.566406,9891900
2021-06-30,43550.000000,44750.000000,41600.000000,44200.000000,41341.292969,9463000
2021-07-01,44200.000000,44275.000000,43100.000000,44200.000000,41341.292969,6062900
2021-07-02,44200.000000,47250.000000,44050.000000,47250.000000,44194.027344,8423700
2021-07-05,47250.000000,47250.000000,43950.000000,43950.000000,41107.460938,3061400
2021-07-06,42950.000000,42950.000000,40875.000000,41425.000000,38745.769531,4539600
2021-07-07,41350.000000,42350.000000,40200.000000,40850.000000,38207.960938,1553500
2021-07-08,40000.000000,42900.000000,40000.000000,40575.000000,37950.746094,4852700
2021-07-09,40600.000000,41875.000000,40600.000000,41150.000000,38488.554688,2386600
2021-07-12,41500.000000,41925.000000,41325.000000,41775.000000,39073.132813,973400
2021-07-13,41900.000000,42875.000000,41150.000000,41550.000000,38862.683594,1660500
2021-07-14,41550.000000,41550.000000,40125.000000,40500.000000,37880.597656,1482000
2021-07-15,40500.000000,41000.000000,40350.000000,40700.000000,38067.660156,1386100
2021-07-16,40700.000000,40900.000000,40175.000000,40200.000000,37600.000000,2729500
2021-07-19,38500.000000,38500.000000,37400.000000,37400.000000,37400.000000,2417900
2021-07-21,37400.000000,37400.000000,35750.000000,35975.000000,35975.000000,3064300
2021-07-22,36000.000000,36800.000000,36000.000000,36250.000000,36250.000000,1191400
2021-07-23,36300.000000,36400.000000,35950.000000,36050.000000,36050.000000,1337200
2021-07-26,36400.000000,36425.000000,35425.000000,35525.000000,35525.000000,1195300
2021-07-27,35525.000000,35550.000000,34600.000000,34800.000000,34800.000000,1452700
2021-07-28,34800.000000,34900.000000,34300.000000,34300.000000,34300.000000,557100
2021-07-29,34500.000000,35000.000000,34100.000000,34825.000000,34825.000000,1512500
2021-07-30,34850.000000,34900.000000,32800.000000,32800.000000,32800.000000,4022400
2021-08-02,33700.000000,33800.000000,32600.000000,32700.000000,32700.000000,1428600
2021-08-03,32800.000000,33250.000000,32500.000000,33050.000000,33050.000000,1352100
2021-08-04,33300.000000,33325.000000,32600.000000,32725.000000,32725.000000,1246900
2021-08-05,32975.000000,33000.000000,32625.000000,32925.000000,32925.000000,624300
2021-08-06,32950.000000,33125.000000,32700.000000,32800.000000,32800.000000,715000
2021-08-09,32800.000000,33275.000000,32800.000000,32825.000000,32825.000000,1033600
2021-08-10,32825.000000,32975.000000,32500.000000,32575.000000,32575.000000,763600
2021-08-12,32750.000000,32900.000000,32525.000000,32900.000000,32900.000000,618300
2021-08-13,32950.000000,33000.000000,32525.000000,32600.000000,32600.000000,664800
2021-08-16,32625.000000,32725.000000,32150.000000,32250.000000,32250.000000,1161300
2021-08-18,32250.000000,32300.000000,30800.000000,30875.000000,30875.000000,3802000
2021-08-19,30875.000000,30900.000000,30175.000000,30200.000000,30200.000000,1621100
2021-08-20,30200.000000,30425.000000,29925.000000,30300.000000,30300.000000,1029800
2021-08-23,30450.000000,31850.000000,30450.000000,31775.000000,31775.000000,1575400
2021-08-24,31775.000000,32275.000000,31625.000000,32275.000000,32275.000000,798900
2021-08-25,32275.000000,32475.000000,32250.000000,32375.000000,32375.000000,522100
2021-08-26,32450.000000,32475.000000,32200.000000,32200.000000,32200.000000,285000
2021-08-27,32300.000000,32300.000000,31900.000000,31975.000000,31975.000000,344600
2021-08-30,32300.000000,32650.000000,32025.000000,32650.000000,32650.000000,907700
2021-08-31,32650.000000,33500.000000,32650.000000,33075.000000,33075.000000,1459000
2021-09-01,33075.000000,33700.000000,32950.000000,33350.000000,33350.000000,729500
2021-09-02,33350.000000,33500.000000,32300.000000,32600.000000,32600.000000,553000
2021-09-03,32650.000000,33175.000000,32050.000000,33100.000000,33100.000000,385100
2021-09-06,33100.000000,33350.000000,33075.000000,33075.000000,33075.000000,341100
2021-09-07,33075.000000,33275.000000,32800.000000,32850.000000,32850.000000,383800
2021-09-08,32850.000000,32950.000000,32200.000000,32350.000000,32350.000000,624100
2021-09-09,32350.000000,33550.000000,32200.000000,33550.000000,33550.000000,457500
2021-09-10,33500.000000,33500.000000,33000.000000,33150.000000,33150.000000,517400
2021-09-13,33050.000000,33050.000000,32300.000000,32400.000000,32400.000000,579600
2021-09-14,32400.000000,32700.000000,32400.000000,32500.000000,32500.000000,316900
2021-09-15,32475.000000,32500.000000,32000.000000,32000.000000,32000.000000,597400
2021-09-16,32000.000000,32350.000000,31875.000000,32350.000000,32350.000000,337700
2021-09-17,32300.000000,32300.000000,31850.000000,31850.000000,31850.000000,656700
2021-09-20,31850.000000,31900.000000,31475.000000,31900.000000,31900.000000,349200
2021-09-21,31900.000000,31900.000000,31425.000000,31450.000000,31450.000000,299000
2021-09-22,31450.000000,31775.000000,31400.000000,31400.000000,31400.000000,428400
2021-09-23,31400.000000,31550.000000,31375.000000,31400.000000,31400.000000,346800
2021-09-24,31400.000000,31425.000000,31025.000000,31075.000000,31075.000000,589200
2021-09-27,31075.000000,31450.000000,31025.000000,31025.000000,31025.000000,315500
2021-09-28,31125.000000,31600.000000,31075.000000,31550.000000,31550.000000,443500
2021-09-29,31500.000000,31775.000000,31100.000000,31675.000000,31675.000000,588900
2021-09-30,31700.000000,32550.000000,31700.000000,32550.000000,32550.000000,750300
2021-10-01,32500.000000,32500.000000,32000.000000,32050.000000,32050.000000,479500
2021-10-04,32050.000000,32750.000000,31925.000000,32475.000000,32475.000000,808900
2021-10-05,32650.000000,33425.000000,32550.000000,32625.000000,32625.000000,1006200
2021-10-06,33000.000000,33275.000000,32700.000000,33050.000000,33050.000000,841400
2021-10-07,33300.000000,36050.000000,33300.000000,34750.000000,34750.000000,2765700
2021-10-08,35000.000000,35150.000000,34525.000000,34650.000000,34650.000000,942400
2021-10-11,34650.000000,34675.000000,33600.000000,33850.000000,33850.000000,821900
2021-10-12,33850.000000,34300.000000,33275.000000,33275.000000,33275.000000,1424600
2021-10-13,33500.000000,34700.000000,33500.000000,34525.000000,34525.000000,1070100
2021-10-14,35050.000000,35175.000000,34525.000000,34600.000000,34600.000000,1287100
2021-10-15,34650.000000,34800.000000,34125.000000,34400.000000,34400.000000,891500
2021-10-18,34500.000000,35425.000000,34500.000000,35150.000000,35150.000000,1481400
2021-10-19,35250.000000,35450.000000,34825.000000,35000.000000,35000.000000,785500
2021-10-21,35100.000000,35350.000000,34800.000000,35200.000000,35200.000000,1086100
2021-10-22,35200.000000,35200.000000,34475.000000,34875.000000,34875.000000,806700
2021-10-25,34925.000000,35000.000000,33700.000000,33850.000000,33850.000000,1351600
2021-10-26,34025.000000,34225.000000,34025.000000,34150.000000,34150.000000,664200
2021-10-27,34500.000000,34500.000000,33575.000000,34500.000000,34500.000000,696700
2021-10-28,34400.000000,34400.000000,33500.000000,33525.000000,33525.000000,597200
2021-10-29,33525.000000,34000.000000,33500.000000,33500.000000,33500.000000,1056400
2021-11-01,33525.000000,34175.000000,33525.000000,33725.000000,33725.000000,395100
2021-11-02,33750.000000,34050.000000,33525.000000,33575.000000,33575.000000,386000
2021-11-03,33350.000000,33525.000000,32725.000000,32950.000000,32950.000000,1474100
2021-11-04,32925.000000,33175.000000,32925.000000,33050.000000,33050.000000,450500
2021-11-05,33050.000000,33300.000000,32775.000000,33025.000000,33025.000000,495500
2021-11-08,33025.000000,33050.000000,32850.000000,33050.000000,33050.000000,433100
2021-11-09,33050.000000,33125.000000,32850.000000,32850.000000,32850.000000,425700
2021-11-10,32850.000000,32950.000000,32750.000000,32825.000000,32825.000000,1413500
2021-11-11,32825.000000,33800.000000,32825.000000,33325.000000,33325.000000,1791500
2021-11-12,33350.000000,33800.000000,33350.000000,33650.000000,33650.000000,679900
2021-11-15,33650.000000,33750.000000,33325.000000,33400.000000,33400.000000,318600
2021-11-16,33750.000000,34350.000000,33525.000000,34300.000000,34300.000000,1295100
2021-11-17,34300.000000,34300.000000,33500.000000,33650.000000,33650.000000,710800
2021-11-18,33800.000000,33800.000000,33200.000000,33400.000000,33400.000000,488100
2021-11-19,33400.000000,33625.000000,33150.000000,33275.000000,33275.000000,610200
2021-11-22,33325.000000,33450.000000,33225.000000,33375.000000,33375.000000,274700
2021-11-23,33375.000000,34100.000000,33325.000000,33475.000000,33475.000000,662200
2021-11-24,33500.000000,33800.000000,33500.000000,33750.000000,33750.000000,244800
2021-11-25,33850.000000,33900.000000,33450.000000,33450.000000,33450.000000,358800
2021-11-26,33450.000000,33450.000000,32800.000000,33175.000000,33175.000000,922900
2021-11-29,33175.000000,33175.000000,32775.000000,32775.000000,32775.000000,561600
2021-11-30,32825.000000,32825.000000,31400.000000,31400.000000,31400.000000,2545400
2021-12-01,31700.000000,31925.000000,31500.000000,31525.000000,31525.000000,919800
2021-12-02,31675.000000,32450.000000,31525.000000,32375.000000,32375.000000,489800
2021-12-03,32300.000000,32300.000000,31825.000000,31950.000000,31950.000000,327600
2021-12-06,31950.000000,32225.000000,31825.000000,32125.000000,32125.000000,464400
2021-12-07,32200.000000,32200.000000,31900.000000,31900.000000,31900.000000,289500
2021-12-08,32000.000000,32200.000000,31500.000000,31500.000000,31500.000000,373500
2021-12-09,31800.000000,32150.000000,31775.000000,32075.000000,32075.000000,316600
2021-12-10,32050.000000,32075.000000,31775.000000,32050.000000,32050.000000,470400
2021-12-13,32050.000000,32275.000000,32050.000000,32250.000000,32250.000000,498300
2021-12-14,32000.000000,32000.000000,31050.000000,31400.000000,31400.000000,1580200
2021-12-15,31400.000000,31675.000000,31100.000000,31575.000000,31575.000000,468300
2021-12-16,31575.000000,31575.000000,31125.000000,31125.000000,31125.000000,665100
2021-12-17,31175.000000,31175.000000,30875.000000,31000.000000,31000.000000,1082400
2021-12-20,31000.000000,31175.000000,31000.000000,31100.000000,31100.000000,282900
2021-12-21,31100.000000,31150.000000,31025.000000,31075.000000,31075.000000,229400
2021-12-22,31075.000000,31200.000000,30850.000000,30850.000000,30850.000000,460800
2021-12-23,30825.000000,30900.000000,30500.000000,30600.000000,30600.000000,458200
2021-12-24,30625.000000,30625.000000,30500.000000,30525.000000,30525.000000,294700
2021-12-27,30525.000000,30800.000000,30475.000000,30675.000000,30675.000000,390700
2021-12-28,30675.000000,30850.000000,30650.000000,30650.000000,30650.000000,406900
2021-12-29,30800.000000,30825.000000,30650.000000,30650.000000,30650.000000,131500
2021-12-30,30675.000000,30700.000000,30550.000000,30600.000000,30600.000000,378200
